template_id,somatotype,gender,goal,activity_level,exercise_complexity,exercise_type,protein_pct,carbs_pct,fats_pct,breakfast_foods,lunch_foods,dinner_foods,snack_foods,diet_principles,fitness_strategy,push_exercises,pull_exercises,legs_exercises,bodyweight_exercises,description
ECTO_M_LOSS_SEDE_BEG_GYM_4B5B,ectomorph,male,weight_loss,sedentary,beginner,gym,20,60,20,"Rice, Fried, | Egg, Whole, Fried With Cooking Spray | Egg, Whole, Fried With Oil | Chicken, As To Part, Baked, Broiled, Or Roasted, Skin Not Eaten | Bread, White | Egg, Whole, Boiled Or Poached","Beef With Tomato-Based Sauce | Fish, Tilapia, Steamed | Chicken, As To Part, Fried, Coated, Skin / Coating Not Eaten | Rice, Fried, With Pork | Beans, From Dried, As To Type, Fat Added | Rice, Fried, With Chicken","Fish And Rice With Tomato-Based Sauce | Chicken Or Turkey With Dumplings | Chicken Or Turkey And Rice With Soy-Based Sauce | Beans, From Dried, As To Type, No Added Fat | Dumpling, No Meat | Adobo, With Rice","Bread, Sweet Potato | Pudding, Tapioca, Ready-To-Eat | Cake Made With Glutinous Rice | Coconut Milk","Anti-Catabolic approach: High carbs (60%) prevent muscle breakdown during deficit by ensuring body burns glucose, not amino acids | Moderate protein (20%) preserves lean mass | Focus on complex carbohydrates | Maintain frequent meals to prevent muscle catabolism","Focus on resistance training to maintain muscle mass during cut with minimal cardio. | Focus: Strength training | 4 to 5 sessions weekly | Moderate to heavy weights, 6-10 reps | Longer rest, 1-2 mins per set | Perform Compound Movements | Reduce on cardio | Short cardio session, 15-20 mins, 2 to 3 times weekly | Cardio is still important to increase stamina and improve heart health | Cardio Suggestions: Light jogging (15-20 mins) | Brisk walking | Cycling at moderate pace | Swimming for recovery | Light recreational sports (badminton, table tennis) | Avoid excessive cardio to preserve muscle mass","xLYSdtg,5v7KYld,SpYC0Kp,PAgTVaK,znQUdHY,DsgkuIt,3ZflifB,JhYSVwT","7I6LNUG,7F1DVzn,kiJ4Z2K,ZX9UZmj,6TG6x2w,G08RZcQ,NbVPDMW,ZZKbeMw","10Z2DXU,jFtipLl,my33uHU,17lJ1kr,bOOdeyc",,"Naturally thin | Smaller bone structure | Thinner limbs | Short upper body, long legs & arms, narrow feet and hands | No real difference between the size of their hips, waists & shoulders | Very little fat storage | Small amount of muscle mass | Very high metabolism | Hard to gain weight"
ECTO_M_LOSS_SEDE_BEG_BWE_7EF2,ectomorph,male,weight_loss,sedentary,beginner,bodyweight,20,60,20,"Fish, Catfish, Steamed | Rice, Fried, With Chicken | Chicken, As To Part, Baked, Broiled, Or Roasted, Skin Not Eaten | Egg Omelet Or Scrambled Egg, As To Fat | Fish, Tilapia, Steamed | Frankfurters Or Hot Dogs With Tomato-Based Sauce","Fish And Rice With Tomato-Based Sauce | Beans, From Dried, As To Type, Fat Added | Chicken Or Turkey And Rice With Soy-Based Sauce | Beef And Rice With Soy-Based Sauce | Chicken, As To Part, Fried, Coated, Skin / Coating Not Eaten | Beef With Tomato-Based Sauce","Adobo, With Rice | Chicken Or Turkey With Dumplings | Beans And Rice, With Meat | Beans, From Dried, As To Type, No Added Fat | Beef And Rice With Tomato-Based Sauce | Rice, White, With Lentils, No Added Fat","Cake Made With Glutinous Rice And Dried Beans | Coconut Milk | Cake Made With Glutinous Rice | Bread, White","Anti-Catabolic approach: High carbs (60%) prevent muscle breakdown during deficit by ensuring body burns glucose, not amino acids | Moderate protein (20%) preserves lean mass | Focus on complex carbohydrates | Maintain frequent meals to prevent muscle catabolism","Focus on resistance training to maintain muscle mass during cut with minimal cardio. | Focus: Strength training | 4 to 5 sessions weekly | Moderate to heavy weights, 6-10 reps | Longer rest, 1-2 mins per set | Perform Compound Movements | Reduce on cardio | Short cardio session, 15-20 mins, 2 to 3 times weekly | Cardio is still important to increase stamina and improve heart health | Cardio Suggestions: Light jogging (15-20 mins) | Brisk walking | Cycling at moderate pace | Swimming for recovery | Light recreational sports (badminton, table tennis) | Avoid excessive cardio to preserve muscle mass",,,,"LEH9jxP,9E25EOx,VPPtusI,TFqbd8t,aWedzZX,bJYHBIN,qaZVsGk,RrLske5","Naturally thin | Smaller bone structure | Thinner limbs | Short upper body, long legs & arms, narrow feet and hands | No real difference between the size of their hips, waists & shoulders | Very little fat storage | Small amount of muscle mass | Very high metabolism | Hard to gain weight"
ECTO_M_LOSS_SEDE_INT_GYM_CF0E,ectomorph,male,weight_loss,sedentary,intermediate,gym,20,60,20,"Rice, Fried, With Chicken | Rice, Fried, | Fish, Catfish, Steamed | Egg Omelet Or Scrambled Egg, As To Fat | Egg, Whole, Fried With Oil | Fish, Tilapia, Steamed","Beans And Rice, With Meat | Chicken, As To Part, Baked, Broiled, Or Roasted, Skin Not Eaten | Black Beans, From Canned, Fat Added | Chicken Or Turkey And Rice With Soy-Based Sauce | Rice, Fried, With Pork | Beans, From Dried, As To Type, Fat Added","Fish, As To Type, Steamed | Dumpling, No Meat | Adobo, With Rice | Rice, Fried, Meatless | Black Beans, From Canned, No Added Fat | Beef With Tomato-Based Sauce","Pudding, Tapioca, Ready-To-Eat | Wonton, Dumpling Or Pot Sticker, Steamed | Cake Made With Glutinous Rice And Dried Beans | Pudding, Rice","Anti-Catabolic approach: High carbs (60%) prevent muscle breakdown during deficit by ensuring body burns glucose, not amino acids | Moderate protein (20%) preserves lean mass | Focus on complex carbohydrates | Maintain frequent meals to prevent muscle catabolism","Focus on resistance training to maintain muscle mass during cut with minimal cardio. | Focus: Strength training | 4 to 5 sessions weekly | Moderate to heavy weights, 6-10 reps | Longer rest, 1-2 mins per set | Perform Compound Movements | Reduce on cardio | Short cardio session, 15-20 mins, 2 to 3 times weekly | Cardio is still important to increase stamina and improve heart health | Cardio Suggestions: Light jogging (15-20 mins) | Brisk walking | Cycling at moderate pace | Swimming for recovery | Light recreational sports (badminton, table tennis) | Avoid excessive cardio to preserve muscle mass","EIeI8Vf,ns0SIbU,yz9nUhF,9WTm7dq,Xy4jlWA,kTbSH9h,h8LFzo9,NN8nSNT","lBDjFxJ,eZyBC3j,fUBheHs,C0MA9bC,25GPyDY,ae9UoXQ,HPlPoQA,dG7tG5y","qXTaZnJ,wQ2c4XD,RRWFUcw,qKBpF7I,ipvgBnC",,"Naturally thin | Smaller bone structure | Thinner limbs | Short upper body, long legs & arms, narrow feet and hands | No real difference between the size of their hips, waists & shoulders | Very little fat storage | Small amount of muscle mass | Very high metabolism | Hard to gain weight"
ECTO_M_LOSS_SEDE_INT_BWE_8A77,ectomorph,male,weight_loss,sedentary,intermediate,bodyweight,20,60,20,"Fish, Tilapia, Steamed | Rice, Fried, With Chicken | Rice, Fried, | Frankfurters Or Hot Dogs With Tomato-Based Sauce | Chicken, As To Part, Baked, Broiled, Or Roasted, Skin Not Eaten | Egg, Whole, Boiled Or Poached","Adobo, With Rice | Beef And Rice With Soy-Based Sauce | Chicken Or Turkey And Rice With Soy-Based Sauce | Rice, Fried, With Pork | Chicken, As To Part, Baked, Broiled, Or Roasted, Skin Not Eaten | Beef With Soy-Based Sauce","Chicken Or Turkey With Dumplings | Fish, Catfish, Steamed | Dumpling, No Meat | Fish And Rice With Tomato-Based Sauce | Beef And Rice With Tomato-Based Sauce | Beans And Rice, With Meat","Fish, Cake Or Patty | Wonton, Dumpling Or Pot Sticker, Steamed | Bean Paste, Sweetened | Banana Chips","Anti-Catabolic approach: High carbs (60%) prevent muscle breakdown during deficit by ensuring body burns glucose, not amino acids | Moderate protein (20%) preserves lean mass | Focus on complex carbohydrates | Maintain frequent meals to prevent muscle catabolism","Focus on resistance training to maintain muscle mass during cut with minimal cardio. | Focus: Strength training | 4 to 5 sessions weekly | Moderate to heavy weights, 6-10 reps | Longer rest, 1-2 mins per set | Perform Compound Movements | Reduce on cardio | Short cardio session, 15-20 mins, 2 to 3 times weekly | Cardio is still important to increase stamina and improve heart health | Cardio Suggestions: Light jogging (15-20 mins) | Brisk walking | Cycling at moderate pace | Swimming for recovery | Light recreational sports (badminton, table tennis) | Avoid excessive cardio to preserve muscle mass",,,,"I4hDWkc,lBDjFxJ,bZGHsAZ,X6C6i5Y,kMzUs9Y,LIlE5Tn,I3tsCnC,dK9394r","Naturally thin | Smaller bone structure | Thinner limbs | Short upper body, long legs & arms, narrow feet and hands | No real difference between the size of their hips, waists & shoulders | Very little fat storage | Small amount of muscle mass | Very high metabolism | Hard to gain weight"
ECTO_M_LOSS_SEDE_ADV_GYM_0733,ectomorph,male,weight_loss,sedentary,hard,gym,20,60,20,"Egg, Whole, Fried With Oil | Chicken, As To Part, Baked, Broiled, Or Roasted, Skin Not Eaten | Bread, Wheat Or Cracked Wheat | Adobo, With Rice | Rice, Fried, With Chicken | Fish, Tilapia, Steamed","Beef With Soy-Based Sauce | Beans, From Dried, As To Type, Fat Added | Beans And Rice, With Meat | Beef And Rice With Soy-Based Sauce | Fish And Rice With Tomato-Based Sauce | Rice, Fried, With Pork","Chicken Or Turkey With Dumplings | Beef With Tomato-Based Sauce | Beans, From Dried, As To Type, No Added Fat | Chicken Or Turkey And Rice With Soy-Based Sauce | Fish, As To Type, Steamed | Fish And Rice With Mushroom Sauce","Pudding, Rice | Wonton, Dumpling Or Pot Sticker, Steamed | Cake Made With Glutinous Rice And Dried Beans | Pudding, Tapioca, Ready-To-Eat","Anti-Catabolic approach: High carbs (60%) prevent muscle breakdown during deficit by ensuring body burns glucose, not amino acids | Moderate protein (20%) preserves lean mass | Focus on complex carbohydrates | Maintain frequent meals to prevent muscle catabolism","Focus on resistance training to maintain muscle mass during cut with minimal cardio. | Focus: Strength training | 4 to 5 sessions weekly | Moderate to heavy weights, 6-10 reps | Longer rest, 1-2 mins per set | Perform Compound Movements | Reduce on cardio | Short cardio session, 15-20 mins, 2 to 3 times weekly | Cardio is still important to increase stamina and improve heart health | Cardio Suggestions: Light jogging (15-20 mins) | Brisk walking | Cycling at moderate pace | Swimming for recovery | Light recreational sports (badminton, table tennis) | Avoid excessive cardio to preserve muscle mass","3TZduzM,GrO65fd,ezTvXcr,0CXGHya,SGY8Zui,rQxwMxO,K1vlode,ZsiqXYa","HMzLjXx,r0z6xzQ,yJUHKTn,Jsgsc27,IENzBdA,gvsWLQw,xNrS20v,jQGwmxN","gfk9kD4,zG0zs85,XlZ4lAC,t8iSghb,0lQnxMZ",,"Naturally thin | Smaller bone structure | Thinner limbs | Short upper body, long legs & arms, narrow feet and hands | No real difference between the size of their hips, waists & shoulders | Very little fat storage | Small amount of muscle mass | Very high metabolism | Hard to gain weight"
ECTO_M_LOSS_SEDE_ADV_BWE_78BD,ectomorph,male,weight_loss,sedentary,hard,bodyweight,20,60,20,"Chicken, As To Part, Baked, Broiled, Or Roasted, Skin Not Eaten | Egg, Whole, Fried With Cooking Spray | Egg, Whole, Fried With Oil | Bread, White | Adobo, With Rice | Fish, Tilapia, Steamed","Black Beans, From Canned, Fat Added | Beans, From Dried, As To Type, Fat Added | Beans And Rice, With Meat | Adobo, With Rice | Rice, Fried, With Chicken | Beef With Tomato-Based Sauce","Black Beans, From Canned, No Added Fat | Dumpling, No Meat | Fish And Rice With Tomato-Based Sauce | Rice, Fried, Meatless | Beans, From Dried, As To Type, No Added Fat | Chicken Or Turkey With Dumplings","Fish, Cake Or Patty | Banana Chips | Pudding, Rice | Banana, Raw","Anti-Catabolic approach: High carbs (60%) prevent muscle breakdown during deficit by ensuring body burns glucose, not amino acids | Moderate protein (20%) preserves lean mass | Focus on complex carbohydrates | Maintain frequent meals to prevent muscle catabolism","Focus on resistance training to maintain muscle mass during cut with minimal cardio. | Focus: Strength training | 4 to 5 sessions weekly | Moderate to heavy weights, 6-10 reps | Longer rest, 1-2 mins per set | Perform Compound Movements | Reduce on cardio | Short cardio session, 15-20 mins, 2 to 3 times weekly | Cardio is still important to increase stamina and improve heart health | Cardio Suggestions: Light jogging (15-20 mins) | Brisk walking | Cycling at moderate pace | Swimming for recovery | Light recreational sports (badminton, table tennis) | Avoid excessive cardio to preserve muscle mass",,,,"HjdqmZa,72BC5Za,rQxwMxO,yJUHKTn,MUic5zN,A9qxk2F,nqs5HGV,PkCN2lv","Naturally thin | Smaller bone structure | Thinner limbs | Short upper body, long legs & arms, narrow feet and hands | No real difference between the size of their hips, waists & shoulders | Very little fat storage | Small amount of muscle mass | Very high metabolism | Hard to gain weight"
ECTO_M_LOSS_LITE_BEG_GYM_8D56,ectomorph,male,weight_loss,light,beginner,gym,20,60,20,"Egg, Whole, Fried With Oil | Rice, Fried, | Chicken, As To Part, Baked, Broiled, Or Roasted, Skin Not Eaten | Frankfurters Or Hot Dogs With Tomato-Based Sauce | Egg, Whole, Fried With Cooking Spray | Bread, Wheat Or Cracked Wheat","Rice, Fried, With Chicken | Fish, As To Type, Baked Or Broiled | Beef And Rice With Soy-Based Sauce | Beans, From Dried, As To Type, Fat Added | Adobo, With Rice | Rice, Fried, With Pork","Dumpling, No Meat | Beans, From Dried, As To Type, No Added Fat | Fish And Rice With Mushroom Sauce | Beef And Rice With Tomato-Based Sauce | Rice, Fried, Meatless | Black Beans, From Canned, No Added Fat","Banana, Baked | Banana, Raw | Pudding, Rice | Bean Cake","Anti-Catabolic approach: High carbs (60%) prevent muscle breakdown during deficit by ensuring body burns glucose, not amino acids | Moderate protein (20%) preserves lean mass | Focus on complex carbohydrates | Maintain frequent meals to prevent muscle catabolism","Focus on resistance training to maintain muscle mass during cut with minimal cardio. | Focus: Strength training | 4 to 5 sessions weekly | Moderate to heavy weights, 6-10 reps | Longer rest, 1-2 mins per set | Perform Compound Movements | Reduce on cardio | Short cardio session, 15-20 mins, 2 to 3 times weekly | Cardio is still important to increase stamina and improve heart health | Cardio Suggestions: Light jogging (15-20 mins) | Brisk walking | Cycling at moderate pace | Swimming for recovery | Light recreational sports (badminton, table tennis) | Avoid excessive cardio to preserve muscle mass","xLYSdtg,5v7KYld,SpYC0Kp,PAgTVaK,znQUdHY,DsgkuIt,3ZflifB,JhYSVwT","7I6LNUG,7F1DVzn,kiJ4Z2K,ZX9UZmj,6TG6x2w,G08RZcQ,NbVPDMW,ZZKbeMw","10Z2DXU,jFtipLl,my33uHU,17lJ1kr,bOOdeyc",,"Naturally thin | Smaller bone structure | Thinner limbs | Short upper body, long legs & arms, narrow feet and hands | No real difference between the size of their hips, waists & shoulders | Very little fat storage | Small amount of muscle mass | Very high metabolism | Hard to gain weight"
ECTO_M_LOSS_LITE_BEG_BWE_6DB1,ectomorph,male,weight_loss,light,beginner,bodyweight,20,60,20,"Egg, Whole, Fried With Cooking Spray | Fish, Tilapia, Steamed | Fish, Catfish, Steamed | Adobo, With Rice | Bread, Wheat Or Cracked Wheat | Egg, Whole, Boiled Or Poached","Rice, Fried, With Pork | Chicken, As To Part, Baked, Broiled, Or Roasted, Skin Not Eaten | Fish And Rice With Tomato-Based Sauce | Chicken, As To Part, Fried, Coated, Skin / Coating Not Eaten | Chicken Or Turkey And Rice With Soy-Based Sauce | Beef With Tomato-Based Sauce","Chicken Or Turkey And Rice With Soy-Based Sauce | Fish, As To Type, Steamed | Beef And Rice With Tomato-Based Sauce | Rice, Fried, Meatless | Chicken Or Turkey With Dumplings | Fish, Tilapia, Steamed","Banana, Baked | Wonton, Dumpling Or Pot Sticker, Steamed | Coconut Milk | Banana, Raw","Anti-Catabolic approach: High carbs (60%) prevent muscle breakdown during deficit by ensuring body burns glucose, not amino acids | Moderate protein (20%) preserves lean mass | Focus on complex carbohydrates | Maintain frequent meals to prevent muscle catabolism","Focus on resistance training to maintain muscle mass during cut with minimal cardio. | Focus: Strength training | 4 to 5 sessions weekly | Moderate to heavy weights, 6-10 reps | Longer rest, 1-2 mins per set | Perform Compound Movements | Reduce on cardio | Short cardio session, 15-20 mins, 2 to 3 times weekly | Cardio is still important to increase stamina and improve heart health | Cardio Suggestions: Light jogging (15-20 mins) | Brisk walking | Cycling at moderate pace | Swimming for recovery | Light recreational sports (badminton, table tennis) | Avoid excessive cardio to preserve muscle mass",,,,"LEH9jxP,9E25EOx,VPPtusI,TFqbd8t,aWedzZX,bJYHBIN,qaZVsGk,RrLske5","Naturally thin | Smaller bone structure | Thinner limbs | Short upper body, long legs & arms, narrow feet and hands | No real difference between the size of their hips, waists & shoulders | Very little fat storage | Small amount of muscle mass | Very high metabolism | Hard to gain weight"
ECTO_M_LOSS_LITE_INT_GYM_6010,ectomorph,male,weight_loss,light,intermediate,gym,20,60,20,"Rice, Fried, | Egg Omelet Or Scrambled Egg, As To Fat | Rice, Fried, With Chicken | Egg, Whole, Fried With Oil | Adobo, With Rice | Egg, Whole, Boiled Or Poached","Beans, From Dried, As To Type, Fat Added | Chicken, As To Part, Baked, Broiled, Or Roasted, Skin Not Eaten | Beef With Tomato-Based Sauce | Beans And Rice, With Meat | Chicken, As To Part, Fried, Coated, Skin / Coating Not Eaten | Beef And Rice With Soy-Based Sauce","Fish, Catfish, Steamed | Chicken Or Turkey With Dumplings | Fish, As To Type, Steamed | Rice, White, With Lentils, No Added Fat | Beans, From Dried, As To Type, No Added Fat | Chicken Or Turkey And Rice With Soy-Based Sauce","Cake Made With Glutinous Rice | Coconut Milk | Bread, White | Cake Made With Glutinous Rice And Dried Beans","Anti-Catabolic approach: High carbs (60%) prevent muscle breakdown during deficit by ensuring body burns glucose, not amino acids | Moderate protein (20%) preserves lean mass | Focus on complex carbohydrates | Maintain frequent meals to prevent muscle catabolism","Focus on resistance training to maintain muscle mass during cut with minimal cardio. | Focus: Strength training | 4 to 5 sessions weekly | Moderate to heavy weights, 6-10 reps | Longer rest, 1-2 mins per set | Perform Compound Movements | Reduce on cardio | Short cardio session, 15-20 mins, 2 to 3 times weekly | Cardio is still important to increase stamina and improve heart health | Cardio Suggestions: Light jogging (15-20 mins) | Brisk walking | Cycling at moderate pace | Swimming for recovery | Light recreational sports (badminton, table tennis) | Avoid excessive cardio to preserve muscle mass","EIeI8Vf,ns0SIbU,yz9nUhF,9WTm7dq,Xy4jlWA,kTbSH9h,h8LFzo9,NN8nSNT","lBDjFxJ,eZyBC3j,fUBheHs,C0MA9bC,25GPyDY,ae9UoXQ,HPlPoQA,dG7tG5y","qXTaZnJ,wQ2c4XD,RRWFUcw,qKBpF7I,ipvgBnC",,"Naturally thin | Smaller bone structure | Thinner limbs | Short upper body, long legs & arms, narrow feet and hands | No real difference between the size of their hips, waists & shoulders | Very little fat storage | Small amount of muscle mass | Very high metabolism | Hard to gain weight"
ECTO_M_LOSS_LITE_INT_BWE_15BB,ectomorph,male,weight_loss,light,intermediate,bodyweight,20,60,20,"Bread, Wheat Or Cracked Wheat | Adobo, With Rice | Egg, Whole, Fried With Cooking Spray | Fish, Catfish, Steamed | Bread, White | Rice, Fried, With Chicken","Beef With Soy-Based Sauce | Black Beans, From Canned, Fat Added | Beef And Rice With Soy-Based Sauce | Rice, Fried, With Pork | Fish, As To Type, Baked Or Broiled | Chicken Or Turkey And Rice With Soy-Based Sauce","Fish And Rice With Mushroom Sauce | Black Beans, From Canned, No Added Fat | Fish, As To Type, Steamed | Rice, Fried, Meatless | Beans, From Dried, As To Type, No Added Fat | Chicken Or Turkey With Dumplings","Bean Paste, Sweetened | Cake Made With Glutinous Rice And Dried Beans | Bean Cake | Coconut Milk","Anti-Catabolic approach: High carbs (60%) prevent muscle breakdown during deficit by ensuring body burns glucose, not amino acids | Moderate protein (20%) preserves lean mass | Focus on complex carbohydrates | Maintain frequent meals to prevent muscle catabolism","Focus on resistance training to maintain muscle mass during cut with minimal cardio. | Focus: Strength training | 4 to 5 sessions weekly | Moderate to heavy weights, 6-10 reps | Longer rest, 1-2 mins per set | Perform Compound Movements | Reduce on cardio | Short cardio session, 15-20 mins, 2 to 3 times weekly | Cardio is still important to increase stamina and improve heart health | Cardio Suggestions: Light jogging (15-20 mins) | Brisk walking | Cycling at moderate pace | Swimming for recovery | Light recreational sports (badminton, table tennis) | Avoid excessive cardio to preserve muscle mass",,,,"I4hDWkc,lBDjFxJ,bZGHsAZ,X6C6i5Y,kMzUs9Y,LIlE5Tn,I3tsCnC,dK9394r","Naturally thin | Smaller bone structure | Thinner limbs | Short upper body, long legs & arms, narrow feet and hands | No real difference between the size of their hips, waists & shoulders | Very little fat storage | Small amount of muscle mass | Very high metabolism | Hard to gain weight"
